,idOriginal,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY,spiral7X
120,003o0000005Be9j,5,-0.36281,0.23121,121,2.5,2.5,-0.06329392,-0.0532988,0.170655139,0.413104272,11.90772276,0.326691341,-0.252839686,-14.67330866
121,003o0000005Be8l,5,-0.32263,0.39162,122,3,2.5,-0.06329392,-0.0532988,0.265207941,0.514983438,14.70461057,-0.276792306,0.434274061,-15.27679231
122,003o0000005Be9l,5,-0.32973,0.17833,123,3,2,-0.06329392,-0.0532988,0.124640086,0.353044028,10.23411958,-0.243591603,-0.255544941,-15.2435916
123,003o0000005Be85,5,-0.50882,0.22557,124,3,1.5,-0.06329392,-0.0532988,0.276261296,0.525605646,14.99324223,-0.396977386,0.344485486,-15.39697739
124,003o0000005Be9b,5,-0.46107,0.27414,125,3,1,-0.06329392,-0.0532988,0.265441978,0.515210615,14.71078935,-0.279593574,0.432746359,-15.27959357
125,003o0000005BegW,0,-0.35359,0.14892,126,3,0.5,-0.33214761,-0.11164283,0.068352764,0.261443616,7.645129262,0.054207026,0.255762317,-9.945792974
126,003o0000005EQHb,0,-0.21129,0.09416,127,3,0,-0.33214761,-0.11164283,0.056961367,0.238665806,6.994340432,0.180815224,0.1557794,-9.819184776
127,003o0000005EQJX,0,-0.4548,0.16853,128,3,-0.5,-0.33214761,-0.11164283,0.093540423,0.305843789,8.905635368,-0.265547307,0.151740078,-10.26554731
128,003o0000005EQMn,0,-0.38531,0.14194,129,3,-1,-0.33214761,-0.11164283,0.067130491,0.259095526,7.578171933,0.07055848,0.249303013,-9.92944152
129,003o0000005Befp,0,-0.47371,0.33744,130,3,-1.5,-0.33214761,-0.11164283,0.221715298,0.47086654,13.49986624,0.280178857,0.378437718,-9.719821143
130,003o0000005Bevh,0,-0.41241,0.20784,131,3,-2,-0.33214761,-0.11164283,0.10851133,0.32941058,9.570410126,-0.325923559,-0.047803382,-10.32592356
131,003o0000005Be9S,0,-0.55207,0.04011,132,3,-2.5,-0.33214761,-0.11164283,0.071394779,0.267198015,7.809093405,0.011990018,0.266928864,-9.988009982
132,003o0000005Be91,0,-0.24121,-0.00575,133,3,-3,-0.33214761,-0.11164283,0.01948294,0.139581304,4.130055795,-0.076766097,-0.116575755,-10.0767661
133,003o0000005Be7z,0,-0.49597,0.05268,134,2.5,-3,-0.33214761,-0.11164283,0.053839768,0.23203398,6.804329455,0.201231494,0.11552339,-9.798768506
134,003o0000005Be8q,0,-0.38746,0.06186,135,2,-3,-0.33214761,-0.11164283,0.033162693,0.182106267,5.366051468,0.110738455,-0.144567241,-9.889261545
135,003o0000005Be9D,0,-0.19089,0.02259,136,1.5,-3,-0.33214761,-0.11164283,0.037972165,0.194864479,5.734893734,0.166300513,-0.10156921,-9.833699487
136,003o0000005Be6b,0,-0.17586,-0.27748,137,1,-3,-0.33214761,-0.11164283,0.051927784,0.227876686,6.685094372,0.209718535,0.08913989,-9.790281465
137,003o0000005Be6i,0,-0.38029,-0.02357,138,0.5,-3,-0.33214761,-0.11164283,0.010074513,0.100371874,2.981331168,-0.099085668,0.016016977,-10.09908567
138,003o0000005Be6k,0,-0.23999,0.03627,139,0,-3,-0.33214761,-0.11164283,0.03037123,0.174273436,5.139152692,0.072136471,-0.158642869,-9.927863529
139,003o0000005Be6v,0,-0.50585,-0.17698,140,-0.5,-3,-0.33214761,-0.11164283,0.034441466,0.185584121,5.466686833,0.127083765,-0.135244899,-9.872916235
140,003o0000005Be9q,0,-0.18931,-0.01744,141,-1,-3,-0.33214761,-0.11164283,0.029276756,0.171104518,5.047258961,0.05623288,-0.161600183,-9.94376712
141,003o0000005Be8s,0,-0.41705,0.02088,142,-1.5,-3,-0.33214761,-0.11164283,0.024770716,0.157387154,4.648826001,-0.009997261,-0.157069319,-10.00999726
142,003o0000005Be8b,0,-0.43933,0.01108,143,-2,-3,-0.33214761,-0.11164283,0.026548958,0.162938509,4.81019752,0.01591138,-0.162159754,-9.98408862
143,003o0000005Be9p,0,-0.22948,-0.14432,144,-2.5,-3,-0.33214761,-0.11164283,0.011608436,0.10774245,3.19794054,-0.10757145,-0.006067847,-10.10757145
144,003o0000005Be3L,0,-0.2035,-0.10241,145,-3,-3,-0.33214761,-0.11164283,0.016635453,0.128978497,3.820290532,-0.100395679,-0.08097012,-10.10039568
145,003o0000005BebU,0,-0.29186,-0.32467,146,-3,-2.5,-0.33214761,-0.11164283,0.047003667,0.21680329,6.367035806,0.216041575,0.018157769,-9.783958425
146,003o0000005EQHv,0,-0.23456,-0.22923,147,-3,-2,-0.33214761,-0.11164283,0.023350084,0.152807343,4.515565339,-0.029882284,-0.149857043,-10.02988228
147,003o0000005EQIb,0,-0.20471,-0.21766,148,-3,-1.5,-0.33214761,-0.11164283,0.027479985,0.16577088,4.89246447,0.029690202,-0.163090394,-9.970309798
148,003o0000005EQJP,0,-0.52142,0.19031,149,-3,-1,-0.33214761,-0.11164283,0.126999549,0.356369961,10.32728807,-0.220821715,-0.279709348,-10.22082172
149,003o0000005EQKx,0,-0.23572,-0.118,150,-3,-0.5,-0.33214761,-0.11164283,0.009338698,0.096636937,2.871447848,-0.093132134,0.025789595,-10.09313213
150,003o0000005EQCU,0,-0.27808,0.0748,151,-3,0,-0.33214761,-0.11164283,0.037684235,0.194124278,5.713519162,0.163468383,-0.104701113,-9.836531617
151,003o0000005EQJz,0,-0.26276,0.09581,152,-3,0.5,-0.33214761,-0.11164283,0.047851317,0.218749439,6.422983455,0.216615351,0.030481254,-9.783384649
152,003o0000005Be8o,0,-0.15357,0.0874,153,-3,1,-0.33214761,-0.11164283,0.071508011,0.267409818,7.81512506,0.010388015,0.267207972,-9.989611985
153,003o0000005Be8h,0,-0.30499,0.19251,154,-3,1.5,-0.33214761,-0.11164283,0.09324648,0.305362866,8.8920387,-0.263045389,0.155092241,-10.26304539
154,003o0000005Be9k,0,-0.10471,0.07244,155,-3,2,-0.33214761,-0.11164283,0.085614355,0.292599307,8.530736285,-0.183245063,0.228113133,-10.18324506
155,003o0000005Be7E,0,-0.51516,-0.06999,156,-3,2.5,-0.33214761,-0.11164283,0.035228493,0.18769255,5.527663562,0.136624015,-0.128694878,-9.863375985
156,003o0000005Be7l,0,-0.31678,-0.2683,157,-3,3,-0.33214761,-0.11164283,0.024777632,0.157409124,4.649464984,-0.009898276,-0.157097602,-10.00989828
157,003o0000005Be6c,0,-0.35056,-0.38269,158,-2.5,3,-0.33214761,-0.11164283,0.073805584,0.271671832,7.936445331,-0.022377681,0.270748636,-10.02237768
158,003o0000005Be6d,0,-0.44157,-0.16697,159,-2,3,-0.33214761,-0.11164283,0.015034355,0.122614661,3.634060846,-0.108044187,-0.057972484,-10.10804419
