Number,idOriginal,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY,spiral7X,spiralGX,spiralGY
118,003o0000005Bebs,5,0.34818,0.54068,119,1.5,2.5,-0.06329392,-0.0532988,0.522121602,0.722579824,13.59557662,0.372489449,0.619171392,-5.627510551,-1.627510551,1.619171392
119,003o0000005Bes3,5,-0.44492,0.35599,120,2,2.5,-0.06329392,-0.0532988,0.313155787,0.55960324,11.1107864,0.06433053,-0.555893308,-5.93566947,-1.93566947,0.444106692
120,003o0000005Be9j,5,-0.36281,0.23121,121,2.5,2.5,-0.06329392,-0.0532988,0.170655139,0.413104272,8.644722392,-0.293665275,0.290544052,-6.293665275,-2.293665275,1.290544052
121,003o0000005Be8l,5,-0.32263,0.39162,122,3,2.5,-0.06329392,-0.0532988,0.265207941,0.514983438,10.38511267,-0.295212076,-0.421968922,-6.295212076,-2.295212076,0.578031078
122,003o0000005Be9l,5,-0.32973,0.17833,123,3,2,-0.06329392,-0.0532988,0.124640086,0.353044028,7.558922242,0.10266403,0.337787186,-5.89733597,-1.89733597,1.337787186
123,003o0000005Be85,5,-0.50882,0.22557,124,3,1.5,-0.06329392,-0.0532988,0.276261296,0.525605646,10.55978691,-0.221870926,-0.476481467,-6.221870926,-2.221870926,0.523518533
124,003o0000005Be9b,5,-0.46107,0.27414,125,3,1,-0.06329392,-0.0532988,0.265441978,0.515210615,10.38886122,-0.29375776,-0.423259207,-6.29375776,-2.29375776,0.576740793
125,003o0000005BegW,0,-0.35359,0.14892,126,3,0.5,-0.33214761,-0.11164283,0.068352764,0.261443616,5.806419807,0.232288445,-0.11997851,-3.767711555,-1.267711555,-0.51997851
126,003o0000005EQHb,0,-0.21129,0.09416,127,3,0,-0.33214761,-0.11164283,0.056961367,0.238665806,5.350870927,0.142239362,-0.191648978,-3.857760638,-1.357760638,-0.591648978
127,003o0000005EQJX,0,-0.4548,0.16853,128,3,-0.5,-0.33214761,-0.11164283,0.093540423,0.305843789,6.671235341,0.283103892,0.115726443,-3.716896108,-1.216896108,-0.284273557
