rank,Number,idOriginal,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY,spiral7X,spiralGX,spiralGY,cohortYear,status,gender,yearsteaching
60,325,003o0000005Be4H,6,0.1598100,-0.4255500,326,-4.5,-4.0,0.2472493,-0.3539287,0.0127752,0.1130276,2.6770967,-0.1010520,0.0506332,-0.1010520,-0.1510520,0.6506332,0.15,0,1,12
61,287,003o0000005Be4i,1,-0.1588600,-0.1291600,288,3.5,4.0,0.2214238,0.0021967,0.1618704,0.4023311,8.4533989,-0.2269797,0.3321905,-2.2269797,-0.9769797,-1.4678095,0.00,0,1,15
62,379,003o0000005Be4I,4,-0.0477400,-0.2325300,380,5.0,-4.5,-0.2250190,-0.1624963,0.0363326,0.1906110,4.3616661,-0.0654895,-0.1790075,1.9345105,0.5845105,1.5709925,0.15,0,0,11
63,387,003o0000005Be4M,4,-0.0684700,-0.2107000,388,1.5,-5.0,-0.2250190,-0.1624963,0.0268312,0.1638023,3.7923119,-0.1303290,-0.0992247,1.8696710,0.5196710,1.6507753,0.15,0,1,16
64,104,003o0000005Be4N,5,-0.3538500,0.3116600,105,-2.5,-0.5,-0.0632939,-0.0532988,0.2176178,0.4664952,9.5718832,-0.4614568,-0.0683767,-6.4614568,-2.4614568,0.9316233,0.15,0,0,14
65,422,003o0000005Be4O,2,0.0680100,-0.2604500,423,-4.0,5.0,0.0846223,-0.2429010,0.0005839,0.0241648,0.5969353,0.0199858,0.0135833,4.0199858,1.6699858,-1.3164167,0.15,0,1,14
66,321,003o0000005Be4Q,6,0.2752900,-0.2903000,322,-3.0,-4.5,0.2472493,-0.3539287,0.0048349,0.0695334,1.6805617,-0.0076170,0.0691149,-0.0076170,-0.0576170,0.6691149,0.00,0,1,12
67,326,003o0000005Be4R,6,0.1764700,-0.3689400,327,-4.5,-3.5,0.2472493,-0.3539287,0.0052350,0.0723536,1.7463965,-0.0126401,0.0712409,-0.0126401,-0.0626401,0.6712409,0.15,0,0,11
68,331,003o0000005Be4S,6,0.1190700,-0.4270300,332,-4.5,-1.0,0.2472493,-0.3539287,0.0217737,0.1475592,3.4409319,-0.1409975,-0.0435136,-0.1409975,-0.1909975,0.5564864,0.15,0,0,12
69,380,003o0000005Be4T,4,-0.0230800,-0.2598100,381,5.0,-5.0,-0.2250190,-0.1624963,0.0502493,0.2241636,5.0564457,0.0756124,-0.2110263,2.0756124,0.7256124,1.5389737,0.15,1,0,11
70,297,003o0000005Be4U,1,0.3519200,-0.0092500,298,4.5,0.0,0.2214238,0.0021967,0.0171603,0.1309973,3.0774943,-0.1307282,0.0083910,-2.1307282,-0.8807282,-1.7916090,0.15,0,0,11
71,334,003o0000005Be4V,6,0.1372600,-0.2665700,335,-4.5,0.5,0.2472493,-0.3539287,0.0197292,0.1404606,3.2858051,-0.1390025,-0.0201860,-0.1390025,-0.1890025,0.5798140,0.15,0,0,17
72,441,003o0000005Be4X,3,0.5891400,0.0852700,442,5.5,5.0,0.3863704,0.2248236,0.0605907,0.2461518,5.5015065,0.1747018,-0.1734071,6.1747018,2.7747018,1.5565929,0.15,0,0,12
73,378,003o0000005Be4Y,4,-0.0612000,-0.4470400,379,5.0,-4.0,-0.2250190,-0.1624963,0.1078018,0.3283318,7.0980966,0.2252136,0.2389155,2.2252136,0.8752136,1.9889155,0.15,0,0,13
74,436,003o0000005Be6a,2,0.2120400,-0.4660600,437,3.0,5.0,0.0846223,-0.2429010,0.0660352,0.2569732,5.7176655,0.2169651,-0.1377003,4.2169651,1.8669651,-1.4677003,0.15,0,0,10
75,136,003o0000005Be6b,0,-0.1758600,-0.2774800,137,1.0,-3.0,-0.3321476,-0.1116428,0.0519278,0.2278767,5.1321602,0.0928715,-0.2080929,-3.9071285,-1.4071285,-0.6080929,0.15,0,1,11
