idOriginal,newClusters,xs,ys,point,xVal,yVal
003o0000005EQHR,1,0.296165038,-0.015651773,247,1,-4
003o0000005EQIm,1,0.29696634,0.173732484,248,0.5,-4
003o0000005EQIT,1,0.334116067,0.081633453,249,0,-4
003o0000005EQIt,1,0.38145899,0.268725438,250,-0.5,-4
003o0000005EQKX,1,0.405137417,-0.054867402,251,-1,-4
003o0000005EQLu,1,0.574095526,-0.018696165,252,-1.5,-4
003o0000005EQNM,1,0.496048753,-0.114441444,253,-2,-4
003o0000005EQNq,1,0.502641448,0.007975288,254,-2.5,-4
003o0000005EQNU,1,0.258818529,-0.125635708,255,-3,-4
003o0000005EQO8,1,0.22690277,0.111214181,256,-3.5,-4
003o0000005EQOR,1,0.241096056,-0.155942045,257,-4,-4
003o0000005EQLi,1,0.369100061,0.159711665,258,-4,-3.5
003o0000005Bel9,1,0.227095125,-0.031898371,259,-4,-3
003o0000005EQLs,1,0.366637826,0.230435036,260,-4,-2.5
003o0000005CufB,1,-0.130543914,-0.040336189,261,-4,-2
003o0000005EQKQ,1,0.210230076,-0.085498766,262,-4,-1.5
003o0000005Cumt,1,0.149011588,-0.058175974,263,-4,-1
003o0000005EQNx,1,0.477313879,-0.139149987,264,-4,-0.5
003o0000005Cuge,1,0.186855631,-0.134283815,265,-4,0
003o0000005Bei6,1,0.013296654,0.024823056,266,-4,0.5
003o0000005BedO,1,0.252759391,0.157351689,267,-4,1
003o0000005Cujs,1,0.311817423,0.165917273,268,-4,1.5
003o0000005EQOL,1,0.167854132,0.210567912,269,-4,2
003o0000005Bebp,1,0.286854967,0.13322943,270,-4,2.5
003o0000005Bebp,1,0.286854967,0.13322943,271,-4,3
003o0000005Cufb,1,0.274088422,0.047342129,272,-4,3.5
003o0000005Be8d,1,0.20429984,0.075610887,273,-4,4
003o0000005Be8j,1,0.354736008,-0.13691311,274,-3.5,4
003o0000005Be9G,1,0.185060006,-0.300435302,275,-3,4
003o0000005Be7P,1,0.389594366,0.211500345,276,-2.5,4
003o0000005Be9e,1,0.257781573,-0.199463143,277,-2,4
003o0000005Be4h,1,-0.049538252,-0.068292141,278,-1.5,4
003o0000005EQJL,1,0.428251813,0.10242978,279,-1,4
003o0000005Be4e,1,-0.334071046,-0.526296228,280,-0.5,4
003o0000005Be2W,1,0.494587482,0.325670017,281,0,4
